label,translation
soup joumou,Suppe Joumou
Sports Authority of India,Sportbehörde von Indien
sports in Seattle,Sportveranstaltungen in Seattle
sport in Seattle,Sport in München
St. Bonaventure Bonnies men's basketball,St. Bonaventure Bonnies Herr Basketball
St. Bonaventure University Bonnies men's basketball,St. Bonaventure Universität Bonnies Herr Basketball
St. Bonaventure University basketball,St. Bonaventure Universität Basketball
St. Bonaventure basketball,St. Bonaventure Basketball
Bonnies men's basketball,Bonnies Mann Basketball
Bonnies basketball,Bonnies Basketball
Bonnies men's basketball team,Bonnies Basketballmannschaft der Mann
St. Bonaventure Bonnies men's basketball team,St. Bonaventure Bonnies Herren-Basketballmannschaft
St. Bonaventure Bonnies basketball team,St. Bonaventure Bonnies Basketballmannschaft
St. Bonaventure basketball team,St. Bonaventure Basketballmannschaft
St. Bonaventure men's basketball team,St. Bonaventure Herren-Basketballmannschaft
Bonnies basketball team,Bonnies Basketball-Team
St. Luke's College of Nursing,St. Luke College für Krankenpflege
St. Luke's International University,St. Luke Internationale Universität
St. Luke's University,St. Luke Universität
St. Mary's University  Texas,St. Mary Universität Texas
St. Paul Saints roster,Liste der St. Paul Saints
strategic communication,strategische Kommunikation
Subacute cutaneous lupus erythematosus,Subakuter kutaner Lupus erythematodes
subacute cutaneous lupus erythematosus,subakuter kutaner Lupus erythematodes
Superintendency for the Development of the Northeast,Superintendenz für der Entwicklung der Nordostens
Systemic inflammation,Systemische Entzündung
TBC Corporation,TBC Gesellschaft
Tabriz University of Medical Sciences,Medizinisch Universität Täbris
teaching English as a second or foreign language,Unterricht von Englisch als Zweit- oder Fremdsprache
teaching English,Englisch unterrichten
teaching English as a second language,Englisch als Zweitsprache unterrichten
teaching English as a foreign language,Englisch als Fremdsprache unterrichten
Technical University of Mombasa,Technisch Universität Mombasa
Texas Longhorns men's basketball,Texas Longhorns Herr Basketball
Texas men's basketball,Texas Mann Basketball
Texas basketball,Texas Basketball
The University of Texas at Austin Longhorns men's basketball team,Der University of Texas at Austin Longhorns Mann Basketball-Team
The University of Texas at Austin Longhorns men's basketball,Der University of Texas at Austin Longhorns Mann Basketball
The University of Texas at Austin Longhorns basketball team,Der University of Texas at Austin Longhorns Basketballmannschaft
The University of Texas at Austin Longhorns basketball,Der Universität von Texas in Austin Longhorns Basketball
The University of Texas at Austin men's basketball team,Der Universität von Texas in Austin Mann Basketball-Team
The University of Texas at Austin basketball team,Basketball-Team der Universität von Texas in Austin
The University of Texas at Austin men's basketball,Der Universität von Texas in Austin Mann Basketball
The University of Texas at Austin basketball,Der Universität von Texas in Austin Basketball
University of Texas at Austin Longhorns men's basketball team,University of Texas at Austin Longhorns Herren-Basketballmannschaft
University of Texas at Austin Longhorns men's basketball,University of Texas at Austin Longhorns Mann Basketball
University of Texas at Austin Longhorns basketball team,University of Texas at Austin Longhorns Basketballmannschaft
University of Texas at Austin Longhorns basketball,University of Texas at Austin Longhorns Basketball
University of Texas at Austin men's basketball team,University of Texas at Austin Herren-Basketball-Team
University of Texas at Austin basketball team,Universität von Texas in Austin Basketball-Team
University of Texas at Austin men's basketball,University of Texas at Austin Mann Basketball
University of Texas at Austin basketball,Universität von Texas in Austin Basketball
U of T Longhorns men's basketball team,U of T Longhorns Herren-Basketballmannschaft
U of T Longhorns men's basketball,U of T Longhorns Herr Basketball
U of T Longhorns basketball team,U of T Longhorns Basketballmannschaft
U of T Longhorns basketball,U von T Longhorns Basketball
Longhorns men's basketball team,Longhorns Herr Basketballmannschaft
Longhorns basketball team,Longhorns Basketballmannschaft
UT Longhorns men's basketball team,UT Longhorns Herr Basketballmannschaft
Texas Longhorns women's basketball,Texas Longhorns Frauen-Basketball
The Forge of God,Der Schmiede Gott
Disney's The Little Mermaid,Disneys Der kleine Meerjungfrau
transistor computer,Transistorrechner
transistorized computer,Transistorrechner
second generation computer,Computer der zweit Generation
Triple-negative breast cancer,Dreifach-negativer Brustkrebs
triple-receptor negative breast cancer,Triple-Rezeptor-negative Brustkrebs
triple-negative breast carcinoma,Triple-negatives Mammakarzinom
Trust Me  I'm Lying,Vertrauen Ich sich ich lügen
Tulsa Golden Hurricane men's basketball,Tulsa Golden Hurricane Herr Basketball
Golden Hurricanes college basketball,Golden Hurricanes Hochschule Basketball
Tunisian independence,Unabhängigkeit Tunesiens
1984 Turkish local elections,Kommunalwahl in der Türkei 1984
UMBC Retrievers men's basketball,UMBC Retrievers Herr Basketball
UMBC Retrievers basketball,UMBC Retrievers Basketball
UMBC men's basketball,UMBC Herr Basketball
UMBC basketball,UMBC Basketball
University of Maryland Baltimore County men's basketball,University of Maryland Baltimore County Mann Basketball
University of Maryland Baltimore County basketball,Universität von Maryland Baltimore County Basketball
Civil libertarianism,Bürgerlicher Libertarismus
United States Office of Special Counsel,Büro der Sonderberaters der Vereinigte Staat
Office of Special Counsel,Büro der Sonderberaters
U. S. Office of Special Counsel,U. S. Büro der Sonderberaters
US Office of Special Counsel,US-Büro der Sonderberaters
U.S. Office of Special Counsel,US-Büro für Sonderberater
2004 United States Senate election in Colorado,Senatswahl in der Vereinigte Staat 2004 in Colorado
United States Senate election in Colorado  2004,Senatswahl in der Vereinigte Staat in Colorado 2004
1984 United States Senate election in Delaware,US-Senatwahl 1984 in Delaware
United States Senate election in Delaware  1984,Senatswahl in Delaware 1984
1998 United States Senate election in Florida,Senatswahl in der Vereinigte Staat 1998 in Florida
United States Senate election in Florida  1998,Senatswahl in der Vereinigte Staat 1998
2012 United States Senate election in Florida,Senatswahl in der Vereinigte Staat 2012 in Florida
United States Senate election in Florida  2012,Senatswahl in der Vereinigte Staat 2012
2008 United States Senate election in Georgia,Senatswahl in der Vereinigte Staat 2008 in Georgia
United States Senate election in Georgia  2008,Senatswahl in der Vereinigte Staat 2008
2014 United States Senate election in Illinois,Senatswahl in der Vereinigte Staat 2014 in Illinois
United States Senate election in Illinois  2014,Senatswahl in der Vereinigte Staat 2014
2006 United States Senate election in Indiana,Senatswahl in der Vereinigte Staat 2006 in Indiana
United States Senate election in Indiana  2006,Senatswahl in der Vereinigte Staat 2006
2008 United States Senate election in Iowa,Senatswahl in der Vereinigte Staat 2008 in Iowa
United States Senate election in Iowa  2008,Senatswahl in der Vereinigte Staat in Iowa 2008
1990 United States Senate election in Kentucky,Senatswahl in der Vereinigte Staat 1990 in Kentucky
United States Senate election in Kentucky  1990,Senatswahl in der Vereinigte Staat in Kentucky 1990
2014 United States Senate election in Louisiana,Senatswahl in der Vereinigte Staat 2014 in Louisiana
United States Senate election in Louisiana  2014,Senatswahl in der Vereinigte Staat 2014
2014 United States Senate election in Massachusetts,Senatswahl in der Vereinigte Staat 2014
United States Senate election in Massachusetts  2014,Senatswahl in der Vereinigte Staat in Massachusetts 2014
2012 United States Senate election in Michigan,Senatswahl in der Vereinigte Staat 2012 in Michigan
United States Senate election in Michigan  2012,Senatswahl in der Vereinigte Staat in Michigan 2012
2006 United States Senate election in Missouri,Senatswahl in der Vereinigte Staat 2006 in Missouri
United States Senate election in Missouri  2006,Senatswahl in der Vereinigte Staat in Missouri 2006
2008 United States Senate election in New Hampshire,Senatswahl 2008 in New Hampshire
United States Senate election in New Hampshire  2008,Senatswahl in der Vereinigte Staat in New Hampshire 2008
2002 United States Senate election in North Carolina,Senatswahl in der Vereinigte Staat 2002 in North Carolina
United States Senate election in North Carolina  2002,Senatswahl in der Vereinigte Staat in North Carolina 2002
2008 United States Senate election in Oregon,Senatswahl in der Vereinigte Staat 2008 in Oregon
United States Senate election in Oregon  2008,Senatswahl in der Vereinigte Staat in Oregon 2008
1998 United States Senate election in Pennsylvania,Senatswahl in der Vereinigte Staat 1998 in Pennsylvania
United States Senate election in Pennsylvania  1998,Senatswahl in der Vereinigte Staat in Pennsylvania 1998
2006 United States Senate election in Pennsylvania,Senatswahl 2006 in Pennsylvania
United States Senate election in Pennsylvania  2006,Senatswahl in Pennsylvania 2006
2012 United States Senate election in Pennsylvania,Senatswahl in der Vereinigte Staat 2012 in Pennsylvania
United States Senate election in Pennsylvania  2012,Senatswahl in Pennsylvania 2012
2008 United States Senate election in South Dakota,Senatswahl in der Vereinigte Staat 2008 in South Dakota
United States Senate election in South Dakota  2008,Senatswahl in der Vereinigte Staat in South Dakota 2008
2014 United States Senate election in South Dakota,Senatswahl in der Vereinigte Staat 2014 in South Dakota
United States Senate election in South Dakota  2014,Senatswahl in der Vereinigte Staat in South Dakota 2014
2000 United States Senate election in Texas,Senatswahl in der Vereinigte Staat 2000 in Texas
United States Senate election in Texas  2000,Senatswahl in der Vereinigte Staat in Texas 2000
2000 United States Senate election in Vermont,Senatswahl 2000 in Vermont
United States Senate election in Vermont  2000,Senatswahl in der Vereinigte Staat in Vermont 2000
1993 United States Senate special election in Texas,US-Senat 1993 Sonderwahl in Texas
United States Senate special election in Texas  1993,US-Senat Sonderwahl in Texas 1993
2010 United States Senate special election in West Virginia,Sonderwahl der US-Senats 2010 in West Virginia
United States Senate special election in West Virginia  2010,Sonderwahl der US-Senats in West Virginia 2010
1992 United States presidential election in Alabama,Präsidentschaftswahl in der Vereinigte Staat 1992 in Alabama
United States presidential election in Alabama  1992,US-Präsidentschaftswahl in Alabama 1992
1992 United States presidential election in Arkansas,Präsidentschaftswahl in der Vereinigte Staat 1992 in Arkansas
United States presidential election in Arkansas  1992,US-Präsidentschaftswahl in Arkansas 1992
2000 United States presidential election in Arkansas,US-Präsidentschaftswahl 2000 in Arkansas
United States presidential election in Arkansas  2000,US-Präsidentschaftswahl in Arkansas 2000
1948 United States presidential election in Georgia,Präsidentschaftswahl in der Vereinigte Staat 1948 in Georgia
United States presidential election in Georgia  1948,Präsidentschaftswahl in der Vereinigte Staat 1948
2000 United States presidential election in Georgia,Präsidentschaftswahl in der Vereinigte Staat 2000 in Georgia
United States presidential election in Georgia  2000,Präsidentschaftswahl in der Vereinigte Staat in Georgia 2000
2004 United States presidential election in Indiana,Präsidentschaftswahl in der Vereinigte Staat 2004 in Indiana
United States presidential election in Indiana  2004,Präsidentschaftswahl in der Vereinigte Staat in Indiana 2004
2000 United States presidential election in Kansas,Präsidentschaftswahl in der Vereinigte Staat 2000 in Kansas
United States presidential election in Kansas  2000,US-Präsidentschaftswahl in Kansas 2000
2008 United States presidential election in Kentucky,Präsidentschaftswahl in der Vereinigte Staat 2008 in Kentucky
United States presidential election in Kentucky  2008,US-Präsidentschaftswahl in Kentucky 2008
1996 United States presidential election in Maine,Präsidentschaftswahl in der Vereinigte Staat 1996 in Maine
United States presidential election in Maine  1996,Präsidentschaftswahl in der Vereinigte Staat 1996
2008 United States presidential election in Louisiana,Präsidentschaftswahl in der Vereinigte Staat 2008 in Louisiana
United States presidential election in Louisiana  2008,US-Präsidentschaftswahl in Louisiana 2008
1992 United States presidential election in Mississippi,Präsidentschaftswahl in der Vereinigte Staat 1992
United States presidential election in Mississippi  1992,US-Präsidentschaftswahl in Mississippi 1992
1988 United States presidential election in Missouri,Präsidentschaftswahl in der Vereinigte Staat 1988 in Missouri
United States presidential election in Missouri  1988,US-Präsidentschaftswahl in Missouri 1988
2000 United States presidential election in Missouri,Präsidentschaftswahl in der Vereinigte Staat 2000 in Missouri
United States presidential election in Missouri  2000,US-Präsidentschaftswahl in Missouri 2000
2004 United States presidential election in Missouri,Präsidentschaftswahl in der Vereinigte Staat 2004 in Missouri
United States presidential election in Missouri  2004,US-Präsidentschaftswahl in Missouri 2004
1996 United States presidential election in New Jersey,Präsidentschaftswahl in der Vereinigte Staat 1996 in New Jersey
United States presidential election in New Jersey  1996,US-Präsidentschaftswahl in New Jersey 1996
1996 United States presidential election in North Carolina,Präsidentschaftswahl in der Vereinigte Staat 1996 in North Carolina
United States presidential election in North Carolina  1996,Präsidentschaftswahlen in der Vereinigte Staat in North Carolina 1996
2000 United States presidential election in North Carolina,Präsidentschaftswahl in der Vereinigte Staat 2000 in North Carolina
United States presidential election in North Carolina  2000,Präsidentschaftswahl in der Vereinigte Staat in North Carolina 2000
2000 United States presidential election in Ohio,Präsidentschaftswahl in der Vereinigte Staat 2000 in Ohio
United States presidential election in Ohio  2000,US-Präsidentschaftswahl in Ohio 2000
1912 United States presidential election in Pennsylvania,Präsidentschaftswahl in der Vereinigte Staat 1912 in Pennsylvania
United States presidential election in Pennsylvania  1912,US-Präsidentschaftswahl in Pennsylvania 1912
1932 United States presidential election in Pennsylvania,Präsidentschaftswahl in der Vereinigte Staat 1932 in Pennsylvania
United States presidential election in Pennsylvania  1932,Präsidentschaftswahl in der Vereinigte Staat 1932
1960 United States presidential election in Pennsylvania,Präsidentschaftswahl in der Vereinigte Staat 1960 in Pennsylvania
United States presidential election in Pennsylvania  1960,Präsidentschaftswahl in der Vereinigte Staat in Pennsylvania 1960
2008 United States presidential election in Virginia,Präsidentschaftswahl in der Vereinigte Staat 2008 in Virginia
United States presidential election in Virginia  2008,Präsidentschaftswahl in der Vereinigte Staat in Virginia 2008
2004 United States presidential election in Wyoming,Präsidentschaftswahl in der Vereinigte Staat 2004 in Wyoming
United States presidential election in Wyoming  2004,US-Präsidentschaftswahl in Wyoming 2004
University of East Asia,Universität Ostasien
Tōa daigaku,Tōa daigaku
University of Indianapolis,Universität von Indianapolis
University of Pembangunan Nasional Veteran,Universität von Pembangunan Nasional Veteran
Utah State Aggies men's basketball,Utah State Aggies Herr Basketball
Utah State Aggies men's basketball team,Utah State Aggies Herren-Basketballmannschaft
Utah State Aggies basketball team,Utah State Aggies Basketballmannschaft
Utah State Aggies basketball,Utah State Aggies Basketball
USU Aggies men's basketball team,USU Aggies Herren-Basketballmannschaft
USU Aggies men's basketball,USU Aggies Herr Basketball
USU Aggies basketball team,USU Aggies Basketballmannschaft
USU Aggies basketball,USU Aggies Basketball
USU men's basketball team,USU Mann Basketballmannschaft
USU men's basketball,USU Mann Basketball
USU basketball team,USU-Basketballmannschaft
USU basketball,USU Basketball
Utah State men's basketball team,Utah State Herren-Basketball-Nationalmannschaft
Utah State men's basketball,Utah State Mann Basketball
Utah State basketball team,Utah State Basketballmannschaft
Utah State basketball,Utah State Basketball
U State Aggies men's basketball team,U State Aggies Herren-Basketballmannschaft
U State Aggies men's basketball,U State Aggies herrenbasketball
U State Aggies basketball team,U State Aggies Basketballmannschaft
U State Aggies basketball,U State Aggies Basketball
U State men's basketball team,U-Landes-Herren-Basketball-Mannschaft
U State men's basketball,U-Staats-Herren-Basketball
U State basketball team,U Landes-Basketball-Mannschaft
U State basketball,U Landesbasketball
Van's Aircraft RV-10,Transporter Flugzeug RV-10
Van's RV-10,Vans RV-10
Vans Aircraft RV-10,Vans Flugzeug RV-10
Vans RV-10,Transporter RV-10
2012 Vermont gubernatorial election,Gouverneurswahl in Vermont 2012
Vermont gubernatorial election  2012,Gouverneurswahl in Vermont 2012
2001 Virginia gubernatorial election,Gouverneurswahl in Virginia 2001
Virginia gubernatorial election  2001,Gouverneurswahl in Virginia 2001
Vélez CF,Vélez CF
Velez CF,Velez CF
Water and Power Development Authority,Wasser- und Energieentwicklungsbehörde
watershed stroke,Wasserscheidenstrich
2006 West Bengal Legislative Assembly election,Wahl der Legislativversammlung in Westbengalen 2006
West Bengal Legislative Assembly election  2006,Wahl zur Legislativversammlung in Westbengalen 2006
Where the Sidewalk Ends,Wo der Bürgersteig enden
Where the sidewalk ends : the poems & drawings of Shel Silverstein.,Wo der Bürgersteig enden: der Gedicht und Zeichnung von Shel Silverstein.
Office of Public Liaison,Amt für öffentlich Verbindung
Office of Public Liaison and Intergovernmental Affairs,Amt für öffentlich Beziehung und zwischenstaatliche Angelegenheit
White House Office of Public Engagement and Intergovernmental Affairs,Büro für öffentlich Engagement und zwischenstaatliche Angelegenheit im Weiße Haus
White House Office of the Staff Secretary,Büro der Stabssekretärs im Weiße Haus
2014 Wisconsin gubernatorial election,Gouverneurswahl in Wisconsin 2014
Wisconsin gubernatorial election  2014,Gouverneurswahl in Wisconsin 2014
World Trade Center cross,World Trade Center Kreuz
Yokkaichi asthma,Yokkaichi als
ZF 8HP transmission,ZF 8PS Getriebe
flavoring substance,Aromastoff
International Descent of Sella,Internationaler Abstieg von Sella
2010 Michigan gubernatorial election,Gouverneurswahl in Michigan 2010
Michigan gubernatorial election  2010,Gouverneurswahl in Michigan 2010
Democratic Junta of Spain,Demokratisch Junta Spanien
LGBT History Month,Monat der LGBT-Geschichte
Korean People's Association in Manchuria,Koreanische Volksvereinigung in der Mandschurei
Roman bridge  Cangas de Onís,Römisch Brücke Cangas de Onís
Liberal rebellions of 1842,Liberaler Rebellionen von 1842
2011 Louisiana gubernatorial election,Gouverneurswahl in Louisiana 2011
Departamento Estadual de Trânsito,Departamento Estadual de Trânsito
2014 São Paulo gubernatorial election,Gouverneurswahl in São Paulo 2014
Federal Institute of Education  Science and Technology,Bundesinstitut für Bildung Wissenschaft und Technologie
second inauguration of George W. Bush,Zweiter Amtseinführung von George W. Bush
2nd inauguration of George W. Bush,2. Amtseinführung von George W. Bush
Comércio e Indústria,Comércio e Indústria
Academy of Cryptography Techniques,Akademie der Kryptographietechniken
amphibian anatomy,Amphibienanatomie
anatomy of amphibians,Anatomie der Amphibie
Amphibia anatomy,Amphibia Anatomie
University of Transport and Communications,Universität für Verkehr und Kommunikation
1990 Taiwan presidential election,Präsidentschaftswahlen in Taiwan 1990
Taiwan presidential election  1990,Präsidentschaftswahl in Taiwan 1990
PChome Online,PChome Online
QQ Music,QQ Musik
LG Chocolate,LG Schokolade
LG Chocolate (VX8500),LG Schokolade (VX8500)
Notre Dame of Dadiangas University,Notre Dame von Dadiangas Universität
Ministry of Administrative and Bureaucratic Reform of The Republic of Indonesia,Ministerium für administrative und bürokratische Reform der Republik Indonesien
Hotel on the Corner of Bitter and Sweet,Hotel an der Ecke von Bitter und Süß
Ming Chi University of Technology,Technisch Universität Ming Chi
MingDao University,Universität MingDao
Cordis  Hong Kong at Langham Place,Cordis Hongkong bei Langham Place
Mao Zedong youth art sculpture,Mao Zedong Jugend Kunst Skulptur
ordinary session of the Diet,ordentliche Sitzung der Diät
Imam Reza shrine rebellion,Imam Reza Schrein Rebellion
Yuxiang qiezi‎,Yuxiang qiezi
Yuxiang eggplant,Yuxiang Aubergine
tarako spaghetti,Tarako Spaghetti
The Pilot's Love Song,Der Liebeslied der Pilot
Toaru Hikūshi e no Koiuta,Toaru Hikūshi e no Koiuta
Anti-monarchism in Japan,Anti-Monarchismus in Japan
Japanese Resistance to the Imperial House of Japan,Japanischer Widerstand gegen der japanische Kaiserhaus
Lexus GS,Lexus GS
Honda Fit hybrid,Honda Fit Hybrid
2011 Sanriku-oki earthquake,Sanriku-oki Erdbeben 2011
Naka-Kyushu Odan road,Straße Naka-Kyushu Odan
Kyoritsu College of Pharmacy,Kyoritsu Hochschule für Pharmazie
Hokkaidō Ōdan expressway,Schnellstraße Hokkaidō Ōdan
National Center of Neurology and Psychiatry,Nationales Zentrum für Neurologie und Psychiatrie
Yamato daigaku,Yamato daigaku
Ōsaka ika daigaku,Ōsaka ika daigaku
Gotemba bypass,Umfahrung Gotemba
1596 Fushimi earthquake,Erdbeben von Fushimi 1596
Tokyo Women's Medical University Hospital,Universitätsklinik für Frau in Tokio
National Institute of Technology  Tokyo College,Nationales Institut für Technologie Hochschule Tokio
Tensen national highway,Nationalstraße Tensen
sexual penetrative use of objects,sexuell penetrativer Gebrauch von Objekt
bile duct carcinoma,Gallengangskarzinom
carcinoma of bile duct,Gallengangskarzinom
National Agriculture and Food Research Organization,Nationale Forschungsorganisation für Landwirtschaft und Ernährung
2000 Tottori earthquake,Tottori-Erdbeben 2000
San-in Kinki Expessway,San-in Kinki Expessway
Tottori Toyooka Miyazu motorway,Autobahn Tottori Toyooka Miyazu
Oudong era,Oudong-Ära
House of Bolkiah,Haus von Bolkia
Revolution Monument in Rzeszów,Revolutionsdenkmal in Rzeszów
first course,erst Gang
International K and KB Series,Internationale K- und KB-Serie
UNLV Runnin' Rebels basketball,UNLV Runnin Rebels Basketball
Nevada-Las Vegas Runnin' Rebels basketball,Nevada-Las Vegas Runnin Rebels Basketball
UNLV Runnin' Rebels men's basketball,UNLV Runnin Rebels Herr Basketball
UNLV Runnin' Rebels,UNLV Runnin Rebels
Nevada-Las Vegas Runnin' Rebels men's basketball,Nevada-Las Vegas Runnin Rebels Herr Basketball
Nevada-Las Vegas Rebels men's basketball,Nevada-Las Vegas Rebels Mann Basketball
Nevada-Las Vegas Rebels basketball,Nevada-Las Vegas Rebels Basketball
UNLV Rebels basketball,UNLV Rebels Basketball
UNLV Rebels,UNLV Rebell
UNLV Rebels men's basketball,UNLV Rebels Herr Basketball
Ukraїns'ka robitnycho-selyans'ka spilka,Ukraźns robitnycho-selyans spilka
crime in Finland,Kriminalität in Finnland
Military intelligence and reconnaissance,Militärische Aufklärung und Aufklärung
جامعة السودان العالمية,جامعة السودان العالمية
Ministry of Hajj and Umrah,Ministerium für Hadsch und Umrah
Ministry of Haj and Umra,Ministerium von Hadsch und Umra
Ministry of Civil Service,Ministerium für öffentlich Dienst
Bank BJB,Bank BJB
브이 오 에스,브이 오 에스
Roh Moo-hyun Government,Roh Moo-hyun Regierung
first generation computer,Computer der erst Generation
vacuum tube computer,Vakuumröhrencomputer
Vacuum tube computer,Vakuumröhrencomputer
Ministry of Domestic Trade and Consumer Affairs,Ministerium für Binnenhandel und Verbraucherangelegenheiten
Domestic Trade and Consumer Affairs Ministry,Ministerium für Binnenhandel und Verbraucherschutz
Rajamangala University of Technology Tawan-ok,Technisch Universität Rajamangala Tawan-ok
Rajamangala University of Technology Suvarnabhumi,Technisch Universität der Universität Suvarnabhumi
Harvard Crimson men's basketball,Harvard Crimson Herr Basketball
Hòa đồng Tôn giáo,Hòa-đồng Tôn giáo
House of Suren,Haus von Suren
Kazakh National Women's Teacher Training University,Kazakh National Women Teacher Training University
2013 Supercopa de España,2013 Supercopa de España
Russian fascism,Russischer Faschismus
2013–14 Argentine Primera División season,Argentinische Primera División 2013/14
Indian Institute of Remote Sensing,Indisches Institut für Fernerkundung
Indian Photo-interpretation Institute,Indisches Institut für Foto-Interpretation
Asian Women's Volleyball Championship,Volleyball-Asienmeisterschaft der Frau
human rights in the State of Palestine,Menschenrechte im Staat Palästina
2013 New Jersey gubernatorial election,Gouverneurswahl in New Jersey 2013
New Jersey gubernatorial election  2013,Gouverneurswahl in New Jersey 2013
National Institute of Disaster Management,Nationales Institut für Katastrophenmanagement
2013 Chhattisgarh Legislative Assembly election,Wahl der Legislativversammlung 2013
Chhattisgarh Legislative Assembly election  2013,Wahl der Legislativversammlung in Chhattisgarh 2013
public association,Öffentlicher Verein
non-governmental organization,Nichtregierungsorganisation
whole bowel irrigation,Ganzdarmspülung
orthograde colon lavage,orthograde Kolonspülung
European Women's Artistic Gymnastics Championships,Kunstturn-Europameisterschaften der Frau
National Development Council (Republic of China),Nationaler Entwicklungsrat (**)
UEFA Euro 2016 qualifying Group I,UEFA EM 2016 Qualifikation Gruppe I
Social service agent,Sozialdienstmitarbeiterin
National United Party of Afghanistan,Nationale Vereinigt Partei Afghanistan
Office of the Supreme Leader of Iran,Amt der Oberste Führer der Iran
House of Leadership,Haus der Führung
1965 Kerala Legislative Assembly election,Wahl der Legislativversammlung von Kerala 1965
Kerala Legislative Assembly election  1965,Wahl der Legislativversammlung in Kerala 1965
2006 Georgia gubernatorial election,Gouverneurswahl in Georgien 2006
Georgia gubernatorial election  2006,Gouverneurswahl in Georgien 2006
2015 Mississippi gubernatorial election,Gouverneurswahl in Mississippi 2015
Mississippi gubernatorial election  2015,Gouverneurswahl in Mississippi 2015
1968 United States presidential election in Alaska,US-Präsidentschaftswahl 1968 in Alaska
United States presidential election in Alaska  1968,US-Präsidentschaftswahl in Alaska 1968
1984 United States presidential election in Alaska,Präsidentschaftswahl in der Vereinigte Staat 1984 in Alaska
United States presidential election in Alaska  1984,Präsidentschaftswahl in der Vereinigte Staat 1984
2012 United States presidential election in Arizona,Präsidentschaftswahl in der Vereinigte Staat 2012 in Arizona
United States presidential election in Arizona  2012,Präsidentschaftswahl in der Vereinigte Staat 2012
2014–15 NCAA Division I men's basketball season,Basketball-Saison NCAA Division I der Mann 2014/15
2014-15 NCAA Division I men's basketball season,2014-15 NCAA Division I Mann Basketball-Saison
LSU Tigers baseball,LSU Tiger Baseball
2012 United States presidential election in Virginia,Präsidentschaftswahl in der Vereinigte Staat 2012 in Virginia
United States presidential election in Virginia  2012,Präsidentschaftswahl in der Vereinigte Staat 2012
2007 Gujarat Legislative Assembly election,Wahl der Legislativversammlung in Gujarat 2007
Gujarat Legislative Assembly election  2007,Wahl der Legislativversammlung in Gujarat 2007
Thai AirAsia X,AirAsia: thailändisch
Banco BMG,Banco BMG
TAR Aerolineas,TAR Aerolineas
Undifferentiated connective tissue disease,Undifferenzierte Bindegewebserkrankung
undifferentiated connective tissue syndrome,undifferenziertes Bindegewebssyndrom
1998 NFC Championship Game,1998 NFC Meisterschaftsspiel
Bulbitis of duodenum,Bulbitis der Zwölffingerdarm
1998–99 UEFA Champions League knockout stage,UEFA Champions League K.o.-Phase 1998/99
1998-99 UEFA Champions League knockout stage,1998/99 UEFA Champions League K.o.-Phase
2014 FA Community Shield,2014 FA Community Shield
1996 United States Senate election in Texas,Senatswahl in der Vereinigte Staat 1996 in Texas
United States Senate election in Texas  1996,Senatswahl in der Vereinigte Staat in Texas 1996
three-wheeled automobile,dreirädriges Automobil
Institute of Medical Sciences and Sum Hospital,Institut für Medizinisch Wissenschaft und Sum Hospital
2006 United States Senate election in Minnesota,Senatswahl 2006 in Minnesota
United States Senate election in Minnesota  2006,Senatswahl in der Vereinigte Staat in Minnesota 2006
1998 United States Senate election in Wisconsin,Senatswahl in der Vereinigte Staat 1998 in Wisconsin
United States Senate election in Wisconsin  1998,Senatswahl in der Vereinigte Staat 1998
2012 United States presidential election in Alabama,Präsidentschaftswahl in der Vereinigte Staat 2012 in Alabama
United States presidential election in Alabama  2012,US-Präsidentschaftswahl in Alabama 2012
1964 United States presidential election in Alaska,Präsidentschaftswahl in der Vereinigte Staat 1964 in Alaska
United States presidential election in Alaska  1964,Präsidentschaftswahl in der Vereinigte Staat 1964
Brazilian nationalism,Brasilianischer Nationalismus
2012 United States presidential election in Delaware,Präsidentschaftswahl in der Vereinigte Staat 2012 in Delaware
United States presidential election in Delaware  2012,Präsidentschaftswahl in der Vereinigte Staat 2012
Melody FM,Melodie FM
1936 United States presidential election in Vermont,Präsidentschaftswahl in der Vereinigte Staat 1936 in Vermont
United States presidential election in Vermont  1936,US-Präsidentschaftswahl 1936 in Vermont
2015 Queensland state election,Parlamentswahl in Queensland 2015
Queensland state election  2015,Landtagswahl in Queensland 2015
1992 United States presidential election in Virginia,Präsidentschaftswahl in der Vereinigte Staat 1992 in Virginia
United States presidential election in Virginia  1992,Präsidentschaftswahl in der Vereinigte Staat 1992
2016 United States Senate election in Iowa,Senatswahl in der Vereinigte Staat 2016 in Iowa
United States Senate election in Iowa  2016,Senatswahl in der Vereinigte Staat 2016
NACDA Directors' Cup,NACDA Direktor Cup
Toyota K CVT transmission,Toyota K CVT-Getriebe
Council of State,Staatsrat
elections in Rajasthan,Wahl in Rajasthan
2001 West Bengal Legislative Assembly election,Wahl der Legislativversammlung in Westbengalen 2001
West Bengal Legislative Assembly election  2001,Wahl zur Legislativversammlung in Westbengalen 2001
Concerns and Controversies over the 2022 FIFA World Cup,Bedenken und Kontroverse um der Fußball-WM 2022
follicular unit extraction,Extraktion der follikulären Einheit
follicular transfer,follikuläre Übertragung
2014 South Dakota gubernatorial election,Gouverneurswahl in South Dakota 2014
South Dakota gubernatorial election  2014,Gouverneurswahl in South Dakota 2014
1928 United States presidential election in New York,Präsidentschaftswahl in der Vereinigte Staat 1928 in New York
